10:ae:60:3d:3d:cd,18,6,18,6,2017-01-26 10:21
cc:20:e8:06:5d:fa,6,5,6,5,2017-01-26 10:23
70:56:81:dd:c2:09,21,6,21,6,2017-01-26 10:25
00:0d:4b:bf:73:e1,65,9,65,9,2017-01-26 10:27
34:e6:d7:76:40:7d,1052,701,1052,701,2017-01-26 10:28
30:63:6b:2e:65:b6,101,32,101,32,2018-04-12 17:14
bc:60:a7:d4:b6:aa,3334285,61556,3334285,61556,2018-04-12 19:30
5c:8d:4e:d9:7c:f8,38,9,38,9,2018-04-12 20:32
a8:82:00:64:1d:0f,11804081,250800,11804081,250800,2018-04-12 22:59
28:f0:76:11:67:98,756461,34829,756461,34829,2018-04-13 02:05
10:ae:60:35:74:d4,24934,2343,24934,2343,2018-04-13 03:24
70:56:81:dd:c2:0a,287,51,287,51,2018-04-13 03:32
00:1f:e1:3e:09:8b,46,23,46,23,2018-04-13 03:33
88:cb:87:8c:75:01,294375,8474,294375,8474,2018-04-13 03:37
24:f0:94:35:1a:f0,188114,11604,188114,11604,2018-04-13 03:40
a8:66:7f:30:38:79,1589112,45982,1589112,45982,2018-04-13 03:41
24:f0:94:21:03:e1,521185,68112,521185,68112,2018-04-13 03:43
5c:f5:da:b0:54:ed,1991,676,1991,676,2018-04-13 03:44
a4:34:d9:cd:0b:54,876343,273166,876343,273166,2018-04-13 03:45
