30:63:6b:2e:65:b6,24,11,24,11,2018-04-15 14:11
5c:8d:4e:d9:7c:f8,79611,1720,79611,1720,2018-04-15 19:44
bc:60:a7:d4:b6:aa,1869969,35839,1869969,35839,2018-04-15 20:17
c8:3a:6b:34:c1:2f,15254228,88409,15254228,88409,2018-04-15 21:45
00:0d:4b:bf:73:e1,2728006,12336,2728006,12336,2018-04-15 23:08
a8:82:00:64:1d:0f,22393421,299879,22393421,299879,2018-04-16 00:11
28:f0:76:11:67:98,110633,3663,110633,3663,2018-04-16 02:13
a8:66:7f:30:38:79,2579637,57083,2579637,57083,2018-04-16 02:31
10:ae:60:3d:3d:cd,36851,1296,36851,1296,2018-04-16 02:55
10:ae:60:35:74:d4,51244,3611,51244,3611,2018-04-16 03:20
70:56:81:dd:c2:0a,2473,227,2473,227,2018-04-16 03:32
00:1f:e1:3e:09:8b,54,24,54,24,2018-04-16 03:35
88:cb:87:8c:75:01,533007,14934,533007,14934,2018-04-16 03:37
24:f0:94:35:1a:f0,1856307,29540,1856307,29540,2018-04-16 03:40
5c:f5:da:b0:54:ed,5967,1114,5967,1114,2018-04-16 03:42
24:f0:94:21:03:e1,1407243,67693,1407243,67693,2018-04-16 03:43
