bc:60:a7:d4:b6:aa,33,11,33,11,2018-04-16 05:53
c8:3a:6b:34:c1:2f,4135138,33010,4135138,33010,2018-04-16 17:23
24:f0:94:35:1a:f0,262912,20291,262912,20291,2018-04-16 17:35
88:cb:87:8c:75:01,31015,3202,31015,3202,2018-04-16 18:10
5c:f5:da:b0:54:ed,877906,16074,877906,16074,2018-04-16 18:13
5c:8d:4e:d9:7c:f8,9753,642491,9753,642491,2018-04-16 18:15
a8:82:00:64:1d:0f,3513335,61664,3513335,61664,2018-04-18 11:15
38:63:bb:74:70:d7,56,27,56,27,2018-04-18 11:37
28:f0:76:11:67:98,148750,5584,148750,5584,2018-04-18 11:39
10:ae:60:3d:3d:cd,28656,1055,28656,1055,2018-04-18 11:41
a8:66:7f:30:38:79,659046,43738,659046,43738,2018-04-18 11:47
10:ae:60:35:74:d4,54021,3379,54021,3379,2018-04-18 11:47
70:56:81:dd:c2:0a,683,100,683,100,2018-04-18 11:51
30:63:6b:2e:65:b6,17,10,17,10,2018-04-18 11:51
24:f0:94:21:03:e1,700424,62780,700424,62780,2018-04-18 11:51
00:1f:e1:3e:09:8b,45,118,45,118,2018-04-18 11:51
a4:34:d9:cd:0b:54,624064,153907,624068,153927,2018-04-18 11:51
